,Avg_Score
2021-01-14,0.07867500000000002
2021-01-13,-0.01316999999999999
2021-01-12,0.14726499999999998
2021-01-11,0.01973500000000002
2021-01-10,-0.053610000000000005
2021-01-09,0.22792000000000004
2021-01-08,0.12679
2021-01-07,0.23556499999999994
2021-01-06,0.19181000000000004
2021-01-05,0.30796
2021-01-04,0.17212
2021-01-03,0.236925
2021-01-02,0.08002000000000001
2021-01-01,0.04968999999999999
2020-12-31,0.109725
2020-12-30,0.10516499999999998
2020-12-29,0.013724999999999998
2020-12-28,0.12378499999999999
2020-12-27,0.32064
2020-12-26,0.47790999999999995
2020-12-25,0.39182500000000003
2020-12-24,0.367885
2020-12-23,0.105335
2020-12-22,0.33455500000000005
2020-12-21,0.25403000000000003
2020-12-20,0.07884500000000001
2020-12-19,0.21517999999999998
2020-12-18,0.41598500000000005
2020-12-17,0.171135
2020-12-16,0.16063
2020-12-15,0.20636000000000002
